"ID_UC0","NOME_UC1","ID_WCMC2","CATEGORI3","GRUPO4","ESFERA5","ANO_CRIA6","GID7","QUALIDAD8","ATO_LEGA9","DT_ULTIM10","CODIGO_U11","NOME_ORG12","decimalLongitude","decimalLatitude"
"3234","ÁREA DE RELEVANTE INTERESSE ECOLóGICO DA CABECEIRA DO CóRREGO MAHANA",NA,"Área de Relevante Interesse Ecológico","US","municipal","2006","15446","Correto (O poligono corresponde ao memorial descritivo do ato legal de criação).","Lei ordinária nº 764 de 26/12/2006","24/10/2018","0060.52.3234","Secretaria de Meio Ambiente e Agricultura Sustentável de Alto Paraíso de Goiás - GO",-47.4601595813743,-14.0516995655682
"277","PARQUE NACIONAL DOS CAMPOS GERAIS","351824","Parque","PI","federal","2006","405","Correto (O poligono corresponde ao memorial descritivo do ato legal de criação).","Decreto nº S/N de 24/03/2006","04/12/2007","0000.00.0277","Instituto Chico Mendes de Conservação da Biodiversidade",-49.9632154882107,-25.0535249412872
"956","ÁREA DE PROTEÇÃO AMBIENTAL DO ESTUÁRIO DO RIO MUNDAÚ","352194","Área de Proteção Ambiental","US","estadual","1999","1921","Correto (O poligono corresponde ao memorial descritivo do ato legal de criação).","Decreto nº 25.414 de 31/03/1999","15/02/2016","0000.23.0956","Secretaria do Meio Ambiente do Ceará",-39.4055743721808,-3.19818137051516
"393","PARQUE ESTADUAL SERRA NEGRA","352052","Parque","PI","estadual","1998","3030","Correto (O poligono corresponde ao memorial descritivo do ato legal de criação).","Decreto nº 39907 de 23/09/1998","21/08/2009","0000.31.0393","Instituto Estadual de Florestas de Minas Gerais",-42.8152808240815,-18.0220807737842
"1805","PARQUE NATURAL MUNICIPAL JOSé GUILHERME MERQUIOR",NA,"Parque","PI","municipal","2000","3225","Aproximado (O poligono representa uma estimativa dos limites da unidade).","Decreto nº 19143 de 16/11/2000","21/06/2016","0455.33.1805","Secretaria Municipal de Conservação e Meio Ambiente do Rio de Janeiro - RJ",-43.2002017924102,-22.9677829821453
"413","PARQUE ESTADUAL DO ITACOLOMI","15961","Parque","PI","estadual","1967","2259","Correto (O poligono corresponde ao memorial descritivo do ato legal de criação).","Lei ordinária nº 4495 de 15/06/1967","26/11/2012","0000.31.0413","Instituto Estadual de Florestas de Minas Gerais",-43.4622692921478,-20.441700981006
"1272","RESERVA PARTICULAR DO PATRIMÔNIO NATURAL POÇO FUNDO",NA,"Reserva Particular do Patrimônio Natural","US","federal","1995","10417","Correto (O poligono corresponde ao memorial descritivo do ato legal de criação).","Portaria nº 36 de 05/06/1995","26/08/2011","0000.00.1272","Instituto Chico Mendes de Conservação da Biodiversidade",-43.894523161051,-20.4422395057194
"2305","RESERVA PARTICULAR DO PATRIMÔNIO NATURAL AGULHAS NEGRAS",NA,"Reserva Particular do Patrimônio Natural","US","estadual","2010","5858","Correto (O poligono corresponde ao memorial descritivo do ato legal de criação).","Portaria nº 112 de 21/05/2010","11/10/2011","0000.33.2305","Instituto Estadual do Ambiente do Rio de Janeiro",-44.5679255750184,-22.400333423144
"941","ÁREA DE PROTEÇÃO AMBIENTAL LAGO DO AMAPÁ",NA,"Área de Proteção Ambiental","US","estadual","2005","4706","Correto (O poligono corresponde ao memorial descritivo do ato legal de criação).","Decreto nº 13.531 de 27/12/2005","27/04/2011","0000.12.0941","Secretaria de Estado de Meio Ambiente do Acre",-67.8498186305064,-10.0422144102282
"1525","RESERVA BIOLóGICA MUNICIPAL DA MATA DO BISPO",NA,"Reserva Biológica","PI","municipal","2003","5015","Correto (O poligono corresponde ao memorial descritivo do ato legal de criação).","Lei ordinária nº 3.783 de 04/08/2003","08/03/2017","3170.31.1525","Prefeitura Municipal de Itabira - MG",-43.0848489116861,-19.5708059949702
"2301","RESERVA PARTICULAR DO PATRIMÔNIO NATURAL SÍTIO SERRA NEGRA",NA,"Reserva Particular do Patrimônio Natural","US","estadual","2010","5840","Correto (O poligono corresponde ao memorial descritivo do ato legal de criação).","Portaria nº 93 de 26/01/2010","19/11/2014","0000.33.2301","Instituto Estadual do Ambiente do Rio de Janeiro",-42.8321953273507,-22.3724625488162
"38","ÁREA DE RELEVANTE INTERESSE ECOLÓGICA JAVARI BURITI","33831","Área de Relevante Interesse Ecológico","US","federal","1985","59","Correto (O poligono corresponde ao memorial descritivo do ato legal de criação).","Decreto nº 91886 de 05/11/1985","27/04/2011","0000.00.0038","Instituto Chico Mendes de Conservação da Biodiversidade",-67.8286311366298,-3.11288373603984
"2252","REFúGIO DE VIDA SILVESTRE SERRA DO CUMARU",NA,"Refúgio de Vida Silvestre","PI","estadual","1987","5435","Aproximado (O poligono representa uma estimativa dos limites da unidade).","Lei ordinária nº 9.989 de 13/01/1987","10/09/2011","0000.26.2252","Agência Estadual do Meio Ambiente de Pernambuco",-35.1717813058595,-8.20304109434556
"3108","RESERVA PARTICULAR DO PATRIMÔNIO NATURAL INTEGRA O PARQUE",NA,"Reserva Particular do Patrimônio Natural","US","federal","2013","10866","Correto (O poligono corresponde ao memorial descritivo do ato legal de criação).","Portaria nº 250 de 14/11/2013","01/08/2014","0000.00.3108","Instituto Chico Mendes de Conservação da Biodiversidade",-47.4993750866705,-13.8867264710432
